Token,Contract,Slot,UpdateRatio,Error
0x7b0c06043468469967dba22d1af33d77d44056c8,0x7b0c06043468469967dba22d1af33d77d44056c8,0,1,
0x7b123f53421b1bf8533339bfbdc7c98aa94163db,0x7b123f53421b1bf8533339bfbdc7c98aa94163db,0,1,
0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,3,1,
0x7de91b204c1c737bcee6f000aaa6569cf7061cb7,0x7de91b204c1c737bcee6f000aaa6569cf7061cb7,0,1,
0x80fb784b7ed66730e8b1dbd9820afd29931aab03,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,0,1,
0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26,0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26,1,1,
0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,0,1,
0x821144518dfe9e7b44fcf4d0824e15e8390d4637,0x821144518dfe9e7b44fcf4d0824e15e8390d4637,0,1,
0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e,0x331d077518216c07c87f4f18ba64cd384c411f84,4,0,
0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,0,1,
0x8762db106b2c2a0bccb3a80d1ed41273552616e8,0x8762db106b2c2a0bccb3a80d1ed41273552616e8,0,1,
0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed,0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed,2,1,
0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,0x45030f6c588d17bbf07318eb49aabab3effb63bd,2,1,
0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,6,1,
0x8e870d67f660d95d5be530380d0ec0bd388289e1,0x8e870d67f660d95d5be530380d0ec0bd388289e1,1,1,
0x8eb24319393716668d768dcec29356ae9cffe285,0x8eb24319393716668d768dcec29356ae9cffe285,1,1,
0x8f8221afbb33998d8584a2b05749ba73c37a938a,0x8f8221afbb33998d8584a2b05749ba73c37a938a,1,1,
0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,3,1,
0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d,0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d,8,0,
0x95172ccbe8344fecd73d0a30f54123652981bd6f,0x95172ccbe8344fecd73d0a30f54123652981bd6f,1,1,
0x960b236a07cf122663c4303350609a66a7b288c0,,,,Error: No valid slots found

